بسم	bism
تتبدلوا الخبيث	tatabaddalul-khabīṡ
حوبا كبيرا	ḥụbang kabīrā
فانكحوا ما طاب	fangkiḥụ mā ṭāb
تعدلوا فواحدة	ta’dilụ fa wāḥidah
ذلك أدنى	żālika adnā
صدقاتهن نحلة	ṣaduqātihinna niḥlah
هنيئا مريئا	hanī`am marī`ā
تؤتوا السفهاء	tu`tus-sufahā`
بلغوا النكاح	balagun-nikāḥ
رشدا فادفعوا	rusydan fadfa’ū
إسرافا وبدارا	isrāfaw wa bidārā
غنيا فليستعفف	ganiyyan falyasta’fif
فقيرا فليأكل	faqīran falya`kul
أموالهم فأشهدوا	amwālahum fa asy-hidụ
ترك الوالدان	tarakal-wālidān
نصيبا مفروضا	naṣībam mafrụḍā
حضر القسمة	ḥaḍaral-qismah
ضعافا خافوا	ḍi’āfan khāfụ
أموال اليتامى	amwālal-yatāmā
وسيصلون سعيرا	wa sayaṣlauna sa’īrā
حظ الأنثيين	ḥaẓẓil-unṡayaīn
فوق اثنتين	fauqaṡnatain
فلها النصف	fa lahan-niṣf
منهما السدس	min-humas-sudus
فلأمه الثلث	fa li`ummihiṡ-ṡuluṡ
إخوة فلأمه	ikhwatun fa li`ummih
آباؤكم وأبناؤكم	ābā`ukum wa abnā`ukum
تدرون أيهم	tadrụna ayyuhum
فريضة من الله	farīḍatam minallāh
ترك أزواجكم	taraka azwājukum
وصية يوصين	waṣiyyatiy yụṣīn
ولهن الربع	wa lahunnar-rubu’
فلهن الثمن	fa lahunnaṡ-ṡumun
رجل يورث كلالة	rajuluy yụraṡu kalālah
غير مضار	gaira muḍārr
وصية من الله	waṣiyyatam minallāh
تلك حدود الله	tilka ḥudụdullāh
يدخله جنات	yudkhil-hu jannāt
ويتعد حدوده	wa yata’adda ḥudụdah
واللاتي يأتين الفاحشة	wallātī ya`tīnal-fāḥisyah
فأمسكوهن في	fa amsikụhunna fī
واللذان يأتيانها	wallażāni ya`tiyānihā
وأصلحا فأعرضوا	wa aṣlaḥā fa a’riḍụ
توابا رحيما	tawwābar raḥīmā
السوء بجهالة	as-sū`a bijahālah
وليست التوبة	wa laisatit-taubah
أحدهم الموت	aḥadahumul-maut
أولئك أعتدنا	ulā`ika a’tadnā
أن ترثوا النساء	an tariṡun-nisā`
بفاحشة مبينة	bifāḥisyatim mubayyinah
وعاشروهن بالمعروف	wa ‘āsyirụhunna bil-ma’rụf
فإن كرهتموهن	fa ing karihtumụhunn
وإن أردتم استبدال	wa in arattumustibdāl
أتأخذونه بهتانا	a ta`khużụnahụ buhtānā
ميثاقا غليظا	mīṡāqan galīẓā
ما نكح آباؤكم	mā nakaḥa ābā`ukum
فاحشة ومقتا	fāḥisyataw wa maqtā
وساء سبيلا	wa sā`a sabīlā
وربائبكم اللاتي	wa raba`ibukumullātī
والمحصنات من النساء	wal-muḥṣanātu minan-nisā`
كتاب الله عليكم	kitāballāhi ‘alaikum
غير مسافحين	gaira musāfiḥīn
فما استمتعتم	fa mastamta’tum
فيما تراضيتم	fīmā tarāḍaitum
من فتياتكم المؤمنات	min fatayātikumul-mu`mināt
أعلم بإيمانكم	a’lamu bi`īmānikum
بعضكم من بعض	ba’ḍukum mim ba’ḍ
متخذات أخدان	muttakhiżāti akhdān
فإذا أحصن	fa iżā uḥṣinn
خشي العنت منكم	khasyiyal-‘anata mingkum
وأن تصبروا	wa an taṣbirụ
ويهديكم سنن الذين	wa yahdiyakum sunanallażīn
أن يتوب عليكم	ay yatụba ‘alaikum
يتبعون الشهوات	yattabi’ụnasy-syahawāt
وخلق الإنسان ضعيفا	wa khuliqal-insānu ḍa’īfā
بينكم بالباطل	bainakum bil-bāṭil
تقتلوا أنفسكم	taqtulū anfusakum
عدوانا وظلما	‘udwānaw wa ẓulmā
تجتنبوا كبائر	tajtanibụ kabā`ir
فضل الله به	faḍḍalallāhu bih
مما اكتسبوا	mimmaktasabụ
مما اكتسبن	mimmaktasabn
واسألوا الله	was`alullāh
ترك الوالدان	tarakal-wālidān
والذين عقدت	wallażīna ‘aqadat
شيء شهيدا	syai`in syahīdā
وبما أنفقوا	wa bimā anfaqụ
فالصالحات قانتات	faṣ-ṣāliḥātu qānitāt
واللاتي تخافون	wallātī takhāfụn
عليهن سبيلا	‘alaihinna sabīlā
عليا كبيرا	‘aliyyang kabīrā
شقاق بينهما	syiqāqa bainihimā
يوفق الله بينهما	yuwaffiqillāhu bainahumā
والجار الجنب	wal-jāril-junub
مختالا فخورا	mukhtālan fakhụrā
ويأمرون الناس	wa ya`murụnan-nās
عذابا مهينا	‘ażābam muhīnā
رئاء الناس	ri`ā`an-nās
قرينا فساء قرينا	qarīnan fa sā`a qarīnā
رزقهم الله	razaqahumullāh
مثقال ذرة	miṡqāla żarrah
يضاعفها ويؤت من لدنه	yuḍā’if-hā wa yu`ti mil ladun-h
هؤلاء شهيدا	hā`ulā`i syahīdā
لو تسوى بهم الأرض	lau tusawwā bihimul-arḍ
الله حديثا	allāha ḥadīṡā
عابري سبيل حتى	‘ābirī sabīlin ḥattā
صعيدا طيبا	ṣa’īdan ṭayyibā
يشترون الضلالة	yasytarụnaḍ-ḍalālah
أعلم بأعدائكم	a’lamu bi`a’dā`ikum
وليا وكفى	waliyyaw wa kafā
بألسنتهم وطعنا	bi`alsinatihim wa ṭa’nā
واسمع وانظرنا	wasma’ wanẓurnā
أصحاب السبت	aṣ-ḥābas-sabt
أمر الله مفعولا	amrullāhi maf’ụlā
أن يشرك به	ay yusyraka bih
فقد افترى	fa qadiftarā
يزكون أنفسهم	yuzakkụna anfusahum
يظلمون فتيلا	yuẓlamụna fatīlā
إثما مبينا	iṡmam mubīnā
بالجبت والطاغوت	bil-jibti waṭ-ṭāgụt
فلن تجد له	fa lan tajida lah
يؤتون الناس نقيرا	yu`tụnan-nāsa naqīrā
يحسدون الناس	yaḥsudụnan-nās
ملكا عظيما	mulkan ‘aẓīmā
من صد عنه	man ṣadda ‘an-h
بجهنم سعيرا	bijahannama sa’īrā
نصليهم نارا	nuṣlīhim nārā
ليذوقوا العذاب	liyażụqul-‘ażāb
ظلا ظليلا	ẓillān ẓalīlā
تؤدوا الأمانات	tu`addul-amānāt
نعما يعظكم	ni’immā ya’iẓukum
وأولي الأمر منكم	wa ulil-amri mingkum
وأحسن تأويلا	wa aḥsanu ta`wīlā
أن يتحاكموا	ay yataḥākamū
ضلالا بعيدا	ḍalālam ba’īdā
رأيت المنافقين	ra`aital-munāfiqīn
إحسانا وتوفيقا	iḥsānaw wa taufīqā
قولا بليغا	qaulam balīgā
ليطاع بإذن الله	liyuṭā’a bi`iżnillāh
لهم الرسول	lahumur-rasụl
قضيت ويسلموا	qaḍaita wa yusallimụ
أن اقتلوا	aniqtulū
وأشد تثبيتا	wa asyadda taṡbītā
وإذا لآتيناهم	wa iżal la`ātaināhum
صراطا مستقيما	ṣirāṭam mustaqīmā
والشهداء والصالحين	wasy-syuhadā`i waṣ-ṣāliḥīn
أولئك رفيقا	ulā`ika rafīqā
ذلك الفضل	żālikal-faḍl
ثبات أو انفروا	ṡubātin awinfirụ
لمن ليبطئن	lamal layubaṭṭi`ann
أكن معهم	akum ma’ahum 
مودة يا ليتني	mawaddatuy yā laitanī
يشرون الحياة 	yasyrụnal-ḥayāh
فسوف نؤتيه	fa saufa nu`tīh
هذه القرية الظالم	hāżihil-qaryah
من لدنك وليا	mil ladungka waliyyā
من لدنك نصيرا	mil ladungka naṣīrā
آمنوا يقاتلون	āmanụ yuqātilụn
سبيل الطاغوت	sabīliṭ-ṭāgụt
كيد الشيطان	kaidasy-syaiṭān
وآتوا الزكاة	wa ātuz-zakāh
يخشون الناس	yakhsyaunan-nās
علينا القتال	‘alainal-qitāl
متاع الدنيا	matā’ud-dun-yā
لمن اتقى	limanittaqā
تظلمون فتيلا	tuẓlamụna fatīlā
يدرككم الموت	yudrikkumul-maut
حسنة يقولوا	ḥasanatuy yaqụlụ
سيئة يقولوا	sayyi`atuy yaqụlụ
كل من	kullum min
هؤلاء القوم	hā`ulā`il-qaum
فمن نفسك	fa min nafsik
للناس رسولا	lin-nāsi rasụlā
من يطع الرسول	may yuṭi’ir-rasụl
عليهم حفيظا	‘alaihim ḥafīẓā
بيت طائفة منهم	bayyata ṭā`ifatum min-hum
يكتب ما يبيتون	yaktubu mā yubayyitụn
فأعرض عنهم	fa a’riḍ ‘an-hum
يتدبرون القرآن	yatadabbarụnal-qur`ān
فيه اختلافا كثيرا	fīhikhtilāfang kaṡīrā
من الأمن أو الخوف	minal-amni awil-khauf
يستنبطونه	yastambiṭụnah
لاتبعتم الشيطان	lattaba’tumusy-syaiṭān
وحرض المؤمنين	wa ḥarriḍil-mu`minīn
بأس الذين	ba`sallażīn
بأسا وأشد تنكيلا	ba`saw wa asyaddu tangkīlā
حسنة يكن له	ḥasanatay yakul lah
يشفع شفاعة سيئة	yasyfa’ syafā’atan sayyi`ah
شيء مقيتا	syai`im muqītā
بتحية فحيوا	bitaḥiyyatin fa ḥayyụ
شيء حسيبا	syai`in ḥasībā
ليجمعنكم	layajma’annakum
ومن أصدق	wa man aṣdaq
في المنافقين	fil-munāfiqīn
أن تهدوا	an tahdụ
فلا تتخذوا	fa lā tattakhiżụ
وجدتموهم	wajattumụhum
ميثاق أو جاءوكم	mīṡāqun au jā`ụkum
لسلطهم عليكم	lasallaṭahum ‘alaikum
إليكم السلم	ilaikumus-salam
ويأمنوا قومهم	wa ya`manụ qaumahum
الفتنة أركسوا	al-fitnati urkisụ
سلطانا مبينا	sulṭānam mubīnā
إلا خطأ	illā khaṭa`ā
ودية مسلمة	wa diyatum musallamah
فتحرير رقبة	fa taḥrīru raqabah
رقبة مؤمنة	raqabatim mu`minah
متتابعين توبة	mutatābi’aini taubah
ألقى إليكم السلام	alqā ilaikumus-salām
مغانم كثيرة	magānimu kaṡīrah
فتبينوا	fa tabayyanụ
أولي الضرر	uliḍ-ḍarar
القاعدين درجة	al-qā’idīna darajah
وعد الله الحسنى	wa’adallāhul-ḥusnā
أجرا عظيما	ajran ‘aẓīmā
درجات منه	darajātim min-h
توفاهم الملائكة	tawaffāhumul-malā`ikah
كنا مستضعفين	kunnā mustaḍ’afīn
فتهاجروا فيها	fa tuhājirụ fīhā
مأواهم جهنم	ma`wāhum jahannam
وساءت مصيرا	wa sā`at maṣīrā
حيلة ولا	ḥīlataw wa lā
أن يعفو عنهم	ay ya’fuwa ‘an-hum
مراغما كثيرا وسعة	murāgamang kaṡīraw wa sa’ah
يدركه الموت	yudrik-hul-maut
أن تقصروا	an taqṣurụ
عدوا مبينا	‘aduwwam mubīnā
وليأخذوا أسلحتهم	walya`khużū asliḥatahum
طائفة أخرى	ṭā`ifatun ukhrā
ميلة واحدة	mailataw wāḥidah
من مطر أو كنتم	mim maṭarin au kuntum
وخذوا حذركم	wa khużụ ḥiżrakum
أعد للكافرين	a’adda lil-kāfirīn
قضيتم الصلاة	qaḍaitumuṣ-ṣalāh
فإذا اطمأننتم	fa iżaṭma`nantum
كانت على	kānat ‘alā
في ابتغاء القوم	fibtigā`il-qaụm
يألمون كما تألمون	ya`lamụna kamā ta`lamụn
أراك الله	arākallāh
للخائنين خصيما	lil-khā`inīna khaṣīmā
واستغفر الله	wastagfirillāh
يختانون أنفسهم	yakhtānụna anfusahum
خوانا أثيما	khawwānan aṡīmā
إذ يبيتون	iż yubayyitụn
يعملون محيطا	ya’malụna muḥīṭā
هؤلاء جادلتم	hā`ulā`i jādaltum
من يكون عليهم	may yakụnu ‘alaihim
سوءا أو يظلم	sū`an au yaẓlim
إثما فإنما	iṡman fa innamā
بهتانا وإثما	buhtānaw wa iṡmā
طائفة منهم	ṭā`ifatum min-hum
يضرونك	yaḍurrụnak
تكن تعلم	takun ta’lam
إصلاح بين	iṣlāḥim bain
ذلك ابتغاء	żālikabtigā`
نوله ما تولى	nuwallihī mā tawallā
ضل ضلالا	ḍalla ḍalālā
إلا إناثا	illā ināṡā
شيطانا مريدا	syaiṭānam marīdā
لعنه الله	la’anahullāh
نصيبا مفروضا	naṣībam mafrụḍā
ولآمرنهم فليغيرن	wa la`āmurannahum fa layugayyirunn
خسر خسرانا	khasira khusrānā
يعدهم ويمنيهم	ya’iduhum wa yumannīhim
يعدهم الشيطان	ya’iduhumusy-syaiṭān
عنها محيصا	‘an-hā mahīṣā
سندخلهم	sanudkhiluhum
وعد الله حقا	wa’dallāhi ḥaqqā
ليس بأمانيكم	laisa bi`amāniyyikum
سوءا يجز به	sū`ay yujza bih
يظلمون نقيرا	yuẓlamụna naqīrā
دينا ممن	dīnam mim man
إبراهيم خليلا	ibrāhīma khalīlā
ويستفتونك في النساء	wa yastaftụnaka fin-nisā`
يتامى النساء اللاتي	yatāman-nisā`illātī
وإن امرأة خافت	wa inimra`atun khāfat
والصلح خير	waṣ-ṣul-ḥu khaīr
وأحضرت الأنفس الشح	uḥḍiratil-anfususy-syuḥḥ
تحسنوا وتتقوا	tuḥsinụ wa tattaqụ
كل الميل	kullal-mail
فتذروها كالمعلقة	fa tażarụhā kal-mu’allaqah
تصلحوا وتتقوا	tuṣliḥụ wa tattaqụ
كلا من سعته	kullam min sa’atih
واسعا حكيما	wāsi’an ḥakīmā
وصينا الذين	waṣṣainallażīn
غنيا حميدا	ganiyyan ḥamīdā
إن يشأ يذهبكم	iy yasya` yuż-hibkum
ذلك قديرا	żālika qadīrā
ثواب الدنيا	ṡawābud-dun-yā
سميعا بصيرا	samī’am baṣīrā
أو الوالدين والأقربين	awil-wālidaini wal-aqrabīn
فقيرا فالله	faqīran fallāh
تتبعوا الهوى	tattabi’ul-hawā
تلووا أو تعرضوا	talwū au tu’riḍụ
والكتاب الذي	wal-kitābillāżī
ثم ازدادوا	ṡummazdādụ
بشر المنافقين	basysyiril-munāfiqīn
دون المؤمنين	dụnil-mu`minīn
عندهم العزة	‘indahumul-‘izzah
ويستهزأ بها	wa yustahza`u bihā
جهنم جميعا	jahannama jamī’ā
يتربصون بكم	yatarabbaṣụna bikum
نستحوذ عليكم	nastaḥwiż ‘alaikum
يحكم بينكم	yaḥkumu bainakum
المؤمنين سبيلا	al-mu`minīna sabīlā
وهو خادعهم	wa huwa khādi’ụhum
قاموا كسالى	qāmụ kusālā
مذبذبين بين	mużabżabīna bain
له سبيلا	lahụ sabīlā
تتخذوا الكافرين	tattakhiżul-kāfirīn
في الدرك	fid-dark
وأخلصوا دينهم	wa akhlaṣụ dīnahum
وسوف يؤت	wa saufa yu`t
وآمنتم	wa āmantum
الجهر بالسوء	al-jahra bis-sū`
عفوا قديرا	‘afuwwang qadīrā
ببعض ونكفر	biba’ḍiw wa nakfur
الكافرون حقا	al-kāfirụna ḥaqqā
يؤتيهم أجورهم	yu`tīhim ujụrahum
فأخذتهم الصاعقة	fa akhażat-humuṣ-ṣā’iqah
فعفونا عن ذلك	fa ‘afaunā ‘an żālik
لا تعدوا	lā ta’dụ
وقتلهم الأنبياء	wa qatlihimul-ambiyā`
طبع الله	ṭaba’allāh
بهتانا عظيما	buhtānan ‘aẓīmā
قتلنا المسيح	qatalnal-masīḥ
شبه لهم	syubbiha lahum
الذين اختلفوا	allażīnakhtalafụ
إلا اتباع الظن	illāttibā’aẓ-ẓann
بل رفعه الله	bal rafa’ahullāh
قبل موته	qabla mautih
طيبات أحلت	ṭayyibātin uḥillāt
وأخذهم الربا	wa akhżihimur-ribā
لكن الراسخون	lākinir-rāsikhụn
أولئك سنؤتيهم	ulā`ika sanu`tīhim
نوح والنبيين	nụḥiw wan-nabiyyīn
وهارون وسليمان	wa hārụna wa sulaimān
داوود زبورا	dāwụda zabụrā
ورسلا قد	wa rusulang qad
موسى تكليما	mụsā taklīmā
حجة بعد الرسل	ḥujjatum ba’dar-rusul
أنزله بعلمه	anzalahụ bi’ilmih
والملائكة يشهدون	wal-malā`ikatu yasy-hadụn
ليهديهم طريقا	liyahdiyahum ṭarīqā
طريق جهنم	ṭarīqa jahannam
فآمنوا خيرا لكم	fa āminụ khairal lakum
لا تغلوا	lā taglụ
إنما المسيح	innamal-masīḥ
وروح منه	wa rụḥum min-h
تقولوا ثلاثة	taqụlụ ṡalāṡah
انتهوا خيرا	intahụ khairā
إله واحد	ilāhuw wāḥid
سبحانه أن	sub-ḥānahū an
لن يستنكف المسيح	lay yastangkifal-masīḥ
ومن يستنكف عن	wa may yastangkif ‘an
فيوفيهم أجورهم	fa yuwaffīhim ujụrahum
الذين استنكفوا	allażīnastangkafụ
نورا مبينا	nụram mubīnā
فسيدخلهم	fa sayudkhiluhum
يستفتونك	yastaftụnak
في الكلالة	fil-kalālah
نصف ما ترك	niṣfu mā tarak
يكن لها ولد	yakul lahā walad
فإن كانتا اثنتين	fa ing kānataṡnatain
إخوة رجالا	ikhwatar rijālā
أن تضلوا	an taḍillụ
أوفوا بالعقود	aufụ bil-‘uqụd
بهيمة الأنعام	bahīmatul-an’ām
تحلوا شعائر	tuḥillụ sya’ā`ir
حللتم فاصطادوا	ḥalaltum faṣṭādụ
شنآن قوم	syana`ānu qaum
البر والتقوى	al-birri wat-taqwā
والمنخنقة والموقوذة	ḥwal-munkhaniqatu wal-mauqụżah
تستقسموا بالأزلام	tastaqsimụ bil-azlām
ذلكم فسق	żālikum fisq
تخشوهم واخشون	takhsyauhum wakhsyaụn
نعمتي ورضيت	ni’matī wa raḍīt
متجانف لإثم	mutajānifil li`iṡm
أحل لهم	uḥillā lahum
الجوارح مكلبين	al-jawāriḥi mukallibīn
اليوم أحل	al-yauma uḥill
إذا آتيتموهن	iżā ātaitumụhunn
حبط عمله	ḥabiṭa ‘amaluh
وامسحوا برءوسكم	wamsaḥụ biru`ụsikum
جنبا فاطهروا	junuban faṭṭahharụ
صعيدا طيبا	ṣa’īdan ṭayyibā
ليطهركم وليتم	liyuṭahhirakum wa liyutimm
واثقكم به	wāṡaqakum bih
بذات الصدور	biżātiṣ-ṣudụr
شهداء بالقسط	syuhadā`a bil-qisṭ
اعدلوا هو	i’dilụ hụ
وأجر عظيم	wa ajrun ‘aẓīm
وكذبوا بآياتنا	wa każżabụ bi`āyātinā
آمنوا اذكروا	āmanużkurụ
منهم اثني	min-humuṡnai
وآمنتم برسلي	wa āmantum birusulī
قلوبهم قاسية 	qulụbahum qāsiyah
حظا مما	ḥaẓẓam mimmā
خائنة منهم	khā`inatim min-hum
بينهم العداوة	bainahumul-‘adāwah
ينبئهم الله	 yunabbi`uhumullāh
عن كثير	‘ang kaṡīr
نور وكتاب مبين	nụruw wa kitābum mubīn
